A,B,C,D,E,F,G
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,2,2,0,0,0,0
12/03/2020,1,3,0,0,1,1
14/03/2020,4,7,0,0,0,1
16/03/2020,3,10,0,0,0,1
17/03/2020,1,11,0,0,0,1
18/03/2020,1,12,0,0,0,1
19/03/2020,1,13,0,0,0,1
20/03/2020,4,17,0,0,0,1
21/03/2020,7,24,0,0,0,1
22/03/2020,5,29,0,0,1,2
23/03/2020,12,41,0,0,0,2
24/03/2020,2,43,0,0,0,2
25/03/2020,8,51,0,0,0,2
26/03/2020,1,52,0,0,0,2
27/03/2020,3,55,0,0,0,2
28/03/2020,25,80,0,0,0,2
29/03/2020,5,85,0,0,0,2
30/03/2020,7,92,0,0,0,2
31/03/2020,59,151,0,0,0,2
01/04/2020,30,181,0,0,0,2
02/04/2020,54,235,0,0,0,2
03/04/2020,43,278,0,0,0,2
04/04/2020,99,377,0,0,0,2
05/04/2020,81,458,0,0,0,2
06/04/2020,68,526,0,0,0,2
07/04/2020,116,642,0,0,0,2
08/04/2020,60,702,0,0,0,2
